MINMDT,MAXMDT,RANGEMDT,MEANMDT,STDMDT,MINPENDI,MAXPENDI,RANGEPENDI,MEANPENDI,STDPENDI,MINDISN10M,MAXDISN10M,RANGEDISN10M,MEANDISN10M,STDDISN10M,MINCARRETN,MAXCARRETN,RANGECARRETN,MEANCARRETN,STDCARRETN,MINDISAUT,MAXDISAUT,RANGEDISAUT,MEANDISAUT,STDDISAUT,MINDISFERR,MAXDISFERR,RANGEDISFERR,MEANDISFERR,STDDISFERR,TJUVEN03,TJUVEN10,TJUVEN21,RMASCU03,RMASCU10,RMASCU21,IENVEJ03,IENVEJ10,IENVEJ21,IREEMP03,IREEMP10,IREEMP21,PRMEF03,HIJMUJ03,PRMEF10,HIJMUJ10,PRMEF21,HIJMUJ21,CARMAT03,CARMAT10,CARMAT21,Shape_Length,Shape_Area,AREAKM2,NHOSPI,NFARMA,NCENTEDUC,DISTHOSPIT,DISTFARMA,DISTATPRIM,VIVTUR21,PLA21,CBMAS30,COB3G,COB4G
524,1240,716,816.8949809999998,161.135338,0.0,55.496662,55.496662,17.049406,8.846194,20816.29048,33675.97087,12859.68039,27586.652510000004,2898.912987,13680.50154,24177.3854,10496.88386,18989.453230000006,2266.720878,19251.6582,32061.67774,12810.01954,25995.29409,2873.207344,20650.43439,33478.75692,12828.32253,27379.42139,2867.485008,10.36184211,11.34868421,10.47794118,106.8027211,109.6551724,105.2830189,303.1746032,227.5362319,273.6842105,153.84615380000002,113.7931034,257.89473680000003,40.47619048,15.12605042,70.0,11.8226601,29.81132075,10.12658228,5.042016807,5.418719212,3.797468354,46123.8657,97125053.7,97.12505341,0,1,4,38413.95798,5338.410907,4618.371228,17,88,0.95,1.0,1.0
304,588,284,455.677922,63.19803,0.17336,30.735294,30.561934,7.8108179999999985,4.690565,27527.64769,32999.00334,5471.355646,30505.77862,1193.299973,94.707679,7905.446848999999,7810.739170000002,4808.1817409999985,1873.285704,26763.41401,34250.805239999994,7487.391220999999,30103.62551,1647.071375,19196.95571,29396.29944,10199.34373,24908.66998,2340.686169,11.40350877,9.85915493,5.429864253,86.8852459,85.21739129999997,104.6296296,303.8461538,366.6666667,675.0,200.0,163.63636359999995,230.0,29.50819672,19.44444444,47.82608696,5.454545455,22.22222222,16.66666667,11.11111111,5.454545455,4.166666667,31840.40445,34262609.66,34.26261139,0,0,0,32361.50052,4394.474625,2915.982157,1,6,0.93,1.0,1.0
1194,1462,268,1291.668306,61.51500600000001,0.0,21.923105,21.923105,3.249375,2.577517,34537.46258,44710.18709,10172.72452,39902.50243,2510.632216,8654.05862,14788.69185,6134.633228,11933.86197,1464.403711,7696.918046,16337.98449,8641.06644,11834.92854,2020.2208,11275.82388,19539.47977,8263.655882,15414.215719999998,2029.845477,5.703422053,5.603448276,8.542713568,107.0866142,88.61788618,97.02970297,786.6666667000002,753.8461538,452.9411765,177.77777780000002,340.0,185.7142857,29.92125984,5.263157895,45.52845528,1.785714286,22.77227723,30.43478261,5.263157895,1.785714286,17.39130435,33049.06319,62501626.37,62.50162506,0,0,0,39438.46187,3109.541511,3011.004289,0,0,0.95,1.0,0.99
409,950,541,663.131645,129.858599,0.122584,51.747543,51.624959,9.533281,6.47167,32400.81012,47232.39522,14831.58511,39309.65236,3364.7889119999995,14407.282969999998,22202.8075,7795.524527,18222.4496,1793.0745949999996,48180.124,58964.69306000001,10784.56906,53462.07679,2280.97665,19541.26016,27563.21353,8021.953367,23678.4466,1791.956401,13.60089186,11.78378378,9.197080292,107.6388889,106.935123,104.4776119,188.5245902,188.0733945,263.4920635,71.79487179,67.79661017,214.8148148,45.13888889,15.8974359,80.31319911,8.077994429,37.31343284,8.0,6.153846154,4.456824513,4.8,46840.23351000001,81913134.89,81.91313171,0,0,0,39480.44498,2274.722264,4202.903839,0,0,1.0,1.0,1.0
167,335,168,264.724279,30.703071,0.0,15.170639,15.170639,2.5109470000000003,1.890292,35017.14208,46496.31776000001,11479.17568,41954.28686,3031.012175,13.727338,7263.7201989999985,7249.992861,2682.166724,1580.203843,19163.57408,30958.56747,11794.99339,24642.15441,2853.725485,10.112698,11117.97588,11107.86318,4762.00894,2646.937969,3.592814371,2.158273381,4.0,142.0289855,127.8688525,108.3333333,1300.0,1900.0,975.0,266.6666667,240.0,0.0,43.47826087,0.0,62.29508197,0.0,25.0,25.0,0.0,0.0,0.0,40895.72402,81461382.34,81.46138,0,0,0,41960.00849,5791.887624,3783.128,0,0,0.95,1.0,0.99
905,1321,416,1038.46127,77.612513,0.122584,29.958517,29.835933,9.256773,5.06499,48078.4973,55816.16535,7737.668049,51951.80185,1820.700856,12720.00708,20205.96235,7485.9552680000015,16692.54541,1806.557871,10994.03554,17525.04508,6531.009543,13580.45172,1421.20423,6787.188020000001,13867.29449,7080.106465999998,9701.072865,1490.029987,0.0,0.0,11.11111111,183.3333333,144.4444444,157.1428571,0.0,0.0,200.0,0.0,0.0,0.0,50.0,0.0,88.88888889,0.0,28.57142857,0.0,0.0,0.0,0.0,23990.02139,31287288.53,31.28728867,0,0,0,50975.20984,6544.670309,2169.670248,1,6,0.95,1.0,0.52
783,1075,292,908.817566,76.282713,0.0,36.302803,36.302803,7.030075,5.928572,40044.95925,45676.69378,5631.734531,42866.99481,1151.63422,36.614704,5483.050941,5446.436237,2369.602985,1375.953203,1076.670117,12190.64059,11113.97047,7076.5799849999985,2628.873388,4278.169292000001,9728.181779,5450.012487,7083.878412,1016.678422,5.215419501,6.783919598,3.956834532,105.1162791,121.1111111,122.4,939.1304348,611.1111111,1018.181818,428.5714286000001,1200.0,250.0,34.88372093,10.66666667,63.33333333,5.263157895,24.8,16.12903226,8.0,1.754385965,6.451612902999999,32348.62803,25148061.38,25.14806175,0,0,2,41309.78805,7251.484231,2341.588102,0,0,1.0,0.99,0.45
960,1377,417,1124.409034,96.780752,0.0,20.948246,20.948246,4.73407,3.43582,50300.1948,60908.6271,10608.4323,55153.80297,2518.130371,20.1812,6107.999274,6087.818074,2504.307666,1136.58267,3910.314311,12755.50747,8845.193154999999,8386.97349,2191.140081,4867.89805,15414.16464,10546.26659,10237.35556,2536.977857,4.790419162,6.586826347000001,7.382550336,122.6666667,119.7368421,132.8125,900.0,754.5454545,472.7272727,650.0,300.0,175.0,42.66666667,9.375,60.52631579,4.347826087,32.8125,19.04761905,0.0,2.173913043,9.523809523999999,31354.72889,54301273.17,54.30127335,0,0,0,54692.50004,3870.059605,3313.816449,0,0,0.95,1.0,1.0
978,1209,231,1083.578658,52.0867,0.122584,26.669384,26.5468,6.391166,3.764368,57560.42978,63837.14449,6276.714711,60745.65969,1408.112979,2916.691366,9237.036593,6320.345227000002,6225.33713,1406.554573,7385.345195999998,14329.143,6943.797806000001,10907.01373,1608.506402,7722.529967,14450.53334,6728.003377,11048.80873,1610.799077,9.615384615,11.9760479,6.194690265,113.6986301,116.8831169,113.2075472,413.3333333,280.0,571.4285714,160.0,150.0,450.0,35.61643836,7.692307692000001,71.42857143,12.72727273,28.30188679,6.666666667,3.846153846,7.272727272999999,0.0,19996.50907,24842450.85,24.8424511,0,0,0,60331.58372,4483.606236,2028.315505,0,0,0.95,1.0,0.82
490,934,444,696.018047,90.132968,0.122584,31.039303000000004,30.916718,8.356334,5.19126,15143.17393,23853.80485,8710.630923,19705.128930000006,1918.364153,65.666226,7011.976543000002,6946.310317,3324.307743,1440.566409,45635.08799,52563.60251,6928.514514,48666.34361,1602.102938,35026.94289,43465.94451,8439.001618,39403.16532,1904.69385,7.586206897,8.02919708,8.130081301,119.6969697,92.95774648,92.1875,500.0,472.7272727,520.0,150.0,425.0,100.0,42.42424242,17.85714286,40.84507042,6.896551724,17.1875,63.63636364,7.142857143,3.448275862,45.45454545,25974.682780000006,34002083.45,34.00208282,0,0,0,19095.94913,5061.401979,2023.601914,3,31,0.95,1.0,1.0
