MINMDT,MAXMDT,RANGEMDT,MEANMDT,STDMDT,MINPENDI,MAXPENDI,RANGEPENDI,MEANPENDI,STDPENDI,MINDISN10M,MAXDISN10M,RANGEDISN10M,MEANDISN10M,STDDISN10M,MINCARRETN,MAXCARRETN,RANGECARRETN,MEANCARRETN,STDCARRETN,MINDISAUT,MAXDISAUT,RANGEDISAUT,MEANDISAUT,STDDISAUT,MINDISFERR,MAXDISFERR,RANGEDISFERR,MEANDISFERR,STDDISFERR,TJUVEN03,TJUVEN10,TJUVEN21,RMASCU03,RMASCU10,RMASCU21,IENVEJ03,IENVEJ10,IENVEJ21,IREEMP03,IREEMP10,IREEMP21,PRMEF03,HIJMUJ03,PRMEF10,HIJMUJ10,PRMEF21,HIJMUJ21,CARMAT03,CARMAT10,CARMAT21,Shape_Length,Shape_Area,AREAKM2,NHOSPI,NFARMA,NCENTEDUC,DISTHOSPIT,DISTFARMA,DISTATPRIM,VIVTUR21,PLA21,CBMAS30,COB3G,COB4G
48,797,749,271.90607,166.795525,0.0,57.062408,57.062408,16.329753,9.547071,13739.92826,19590.84994,5850.92168,16611.96655,1359.836963,15.521663,4886.849329,4871.327665,1775.798738,1046.108326,11141.28626,17478.137580000002,6336.851315,14155.95863,1361.555643,36.726435,6245.26147,6208.535035,2981.171234,1211.618094,10.03568243,10.98113208,12.30186079,104.3755697,105.5857254,102.0891365,245.7777778,206.5292096,190.1960784,126.2135922,146.5346535,232.2916667,44.48495898,13.31967213,82.93250582,11.50608045,34.05292479,20.24539877,5.9426229510000015,5.519176801,8.99795501,27268.23737,32036356.46,32.03635788,0,1,2,16796.3792,2277.246721,2621.424361,37,190,0.95,1.0,1.0
-70,306,376,122.20034,63.423444,0.0,40.995716,40.995716,7.292199,5.057279,2581.068049,10546.31182,7965.243767,6373.547002,1951.506055,2.874789,3417.815093,3414.940304,1214.383873,713.736122,21.682586,4365.431044,4343.748458,1715.927965,837.4696769999998,6.114006,3808.698185,3802.584178,1381.835143,727.572785,13.76274976,14.74249451,14.29253162,98.4197394,97.92270531,97.45583039,133.29949240000002,110.6788079,131.2186978,59.11214953,94.80519481,127.571116,45.91072914,18.29710145,85.24154589,13.31822046,35.78327444,17.77485188,8.876811594,5.950694248,7.965766952,29223.364380000006,32095696.18,32.095695500000005,0,0,8,4386.609967,8451.391296,2352.146231,26,173,1.0,1.0,1.0
14,708,694,281.904442,172.715412,0.17336,38.761547,38.588187,13.574138,6.8720729999999985,8783.135626000001,16427.179930000002,7644.044304000001,12781.16254,1795.009816,15.655126,7635.358906999999,7619.703781,2732.891074,1888.402916,6762.363415999999,13461.386369999998,6699.022953,10064.03313,1478.523442,40.109265,7000.001942,6959.892677,3318.9076670000004,1554.2102630000004,7.423117709,10.01890359,10.09268795,111.43497759999998,120.4166667,103.9915966,387.14285710000007,235.8490566,253.0612245,135.8974359,241.9354839,225.0,42.37668161,7.936507937000001,86.04166667,8.716707022000001,31.72268908,14.56953642,4.761904762,3.87409201,7.947019868,35370.99694,43695161.26,43.69515991,0,0,0,13426.83278,4412.519836,3539.8218810000008,8,60,0.0,1.0,1.0
837,907,70,856.2240800000002,10.368299,0.0,9.966614,9.966614,1.947525,1.586501,41.576798,1786.908309,1745.3315100000002,881.2736859999999,404.768842,151.352113,2218.6278230000007,2067.275710000001,1335.35206,526.6964780000002,61.068417,1854.155625,1793.087208,970.081509,445.439706,44.194268,2456.505212,2412.3109440000007,995.939501,561.864758,9.524251136,10.21698939,10.21566402,91.1540507,89.85774986,89.78888409999998,238.7536514,241.2380952,300.2222222000001,83.72483221,172.9977117,241.3249211,38.41517461,13.52099677,67.43026048,9.97260274,27.57432141,20.546875,7.245039225,5.260273973,10.15625,8669.222807,4097252.223,4.097252369,0,6,10,40531.38162,11804.24845,890.6981529999998,11,45,1.0,1.0,1.0
-1,189,190,45.903671,43.561509,0.0,28.719135,28.719135,4.479148,4.307399,2268.47586,13519.0394,11250.56354,9118.517421,2330.890713,4454.118402,9843.837131,5389.718729,7085.824403000001,1361.485284,4095.248268,10381.79318,6286.544909,7301.339776999999,1372.693547,2185.5463170000007,9717.885435,7532.339118000001,5542.462026,1596.759583,12.98969072,14.24719101,12.16245409,104.2105263,103.196347,104.6419098,123.4126984,120.0315457,180.1065719,99.43502825,133.1491713,156.3380282,48.47368421,19.54397394,82.73972603,12.74834437,35.41114058,16.85393258,10.2062975,5.960264901,6.741573034,37185.75417,37586877.45,37.58687592,0,2,4,8405.825475,8499.936764,1707.606568,167,972,1.0,1.0,1.0
4,379,375,106.776663,74.325404,0.0,34.270046,34.270046,7.814872,5.286548000000002,7916.092448,15723.84697,7807.754522,12575.10908,1800.00438,38.281165,5189.823564,5151.542399,2304.34702,1168.600719,39.478115,5932.902226,5893.424112,2752.249122,1257.923891,14.490758,4675.5736689999985,4661.082911,2330.704868,1094.399587,11.066599900000002,12.41830065,12.93031066,106.94300520000002,107.5581395,104.9913941,201.8099548,173.6842105,163.961039,92.10526316,161.038961,141.0714286,47.66839378,15.0,80.32945736,10.97708082,36.14457831,20.71428571,7.391304347999999,4.221954162,11.9047619,27424.503010000004,42221580.6,42.22158051,0,1,2,13004.24658,4328.391516,2175.725196,18,151,1.0,1.0,1.0
101,2002,1901,667.643642,363.651638,0.122584,51.717514,51.59493,19.161141,7.910147,27074.57173,35933.8461,8859.274373999999,31231.384110000006,1878.0976100000007,6695.397245,16649.102759999998,9953.705513,11774.18057,2162.325269,6382.45869,23855.10641,17472.647719999994,14842.6191,4617.599889,5236.321365999999,22450.87347,17214.5521,13630.69914,4426.595489,9.111617312,5.39083558,7.005758157000001,129.84293190000002,133.8235294,126.0303688,350.0,615.0,527.3972603,88.52459016,236.3636364,600.0,48.86561955,8.214285713999999,69.11764706,5.47112462,29.93492408,22.46376812,3.571428571,2.73556231,10.86956522,57399.75871,118092087.8,118.0920868,0,0,0,32327.21297,9669.37931,4374.534111,8,36,0.63,1.0,1.0
53,749,696,312.336538,157.453419,0.0,46.073116,46.073116,13.204655,8.09972,4225.843552,12951.7111,8725.867544,7995.551851,2193.395214,93.696289,4906.291889,4812.595601,3058.841746,1138.877077,395.257021,6321.652381,5926.395359,3741.38895,1363.204371,35.26267,5848.152201,5812.889531,3282.530332,1324.983721,9.820627802999999,11.28892734,14.0552017,96.64902998,99.48231234,102.8423773,225.1141553,191.1877395,164.35045319999998,71.33757962,138.7096774,163.91752580000005,45.32627866,10.50583658,81.62208801,11.31078224,33.93626184,23.60406091,4.280155642,4.756871036000001,9.390862944,25549.95997,36233975.99,36.23397446,0,1,4,10850.76949,5371.763913000002,2432.804922,1,6,1.0,1.0,1.0
45,690,645,272.745389,160.518497,0.0,45.122505,45.122505,13.474448,7.458869,9094.555133,17679.01825,8584.463117,13111.07046,2121.895581,2875.040002,10096.0457,7221.005695000002,6270.408472,1779.447096,3148.920111,9668.47868,6519.55857,6278.660397,1574.101918,23.425168,7508.989067,7485.563899,3347.52458,1812.980062,11.51358344,11.93568336,11.42857143,92.28855721,98.16176471,92.39766082,200.5617978,186.5284974,218.08510640000003,69.23076923,143.4782609,254.5454545,37.56218905,16.22516556,75.12254902,12.23491028,28.65497076,21.63265306,7.947019868,5.709624796,10.20408163,25685.83546,30348838.66,30.34883881,0,1,14,17796.90716,6018.847343,2678.750321,23,177,0.0,0.99,0.96
708,1319,611,958.996225,105.577849,0.0,36.369904,36.369904,12.52742,6.67328,9035.089842,17473.74106,8438.651222,13053.91817,2107.951955,1236.76821,7419.2020200000015,6182.43381,4836.735752000001,1504.759012,2334.534037,9854.856032,7520.321995,5937.257715,1833.902642,1670.931294,9340.226343,7669.2950489999985,5442.537671,1756.349525,11.61290323,7.547169811,9.459459459,115.2777778,103.8461538,111.4285714,261.1111111,375.0,271.42857139999995,54.54545455,87.5,425.0,48.61111111,5.714285714,75.64102564,8.474576271,25.71428571,27.77777778,0.0,1.694915254,5.555555556,24346.82832,36160566.29,36.16056442,0,0,0,32790.14207,4073.323568,2728.297618,0,0,0.29,1.0,1.0
