CODMUNI;MINMDT;MAXMDT;RANGEMDT;MEANMDT;STDMDT;MINPENDI;MAXPENDI;RANGEPENDI;MEANPENDI;STDPENDI
42209;978;1757;779;1325.957091;166.826942;0.122584;34.07383;33.951245;11.88887;5.981732
42211;1051;1148;97;1083.010471;21.158721;0;10.559842;10.559842;2.12918;1.80301
42212;981;1143;162;1093.656896;38.319164;0;30.17079;30.17079;5.049697;5.471189
42215;1053;2175;1122;1399.7773;256.636283;0;43.666061;43.666061;10.499222;6.641646
42218;819;1662;843;1204.688256;161.756815;0.122584;42.023865;41.90128;15.411632;7.290915
47002;725;855;130;763.225684;21.499782;0;17.02673;17.02673;1.898324;2.306493
47003;727;808;81;765.991501;17.520424;0;6.676022;6.676022;1.657606;0.983411
47004;713;815;102;762.195969;18.155926;0;9.694772;9.694772;1.473717;1.075571
47005;704;852;148;746.016643;33.135012;0;17.353243;17.353243;1.965887;2.474604
47006;714;851;137;772.76563;49.351252;0;20.349838;20.349838;2.379227;3.310499
47013;694;787;93;742.992217;19.911093;0;6.084155;6.084155;1.549327;0.898267
47007;692;845;153;712.52304;19.424484;0;16.689034;16.689034;1.13201;1.296388
47008;768;858;90;789.429313;19.928441;0;9.536004;9.536004;1.321375;1.223246
47009;758;891;133;825.244017;43.069134;0;23.271984;23.271984;4.26538;3.399464
47010;677;845;168;731.742529;43.127282;0.122584;17.036514;16.91393;3.677444;3.197661
47011;759;828;69;784.459577;8.741964;0;8.167453;8.167453;1.39743;1.191624
47015;717;788;71;749.27732;17.052087;0;7.58522;7.58522;1.520899;0.898082
47016;721;798;77;747.327122;16.669452;0;12.903071;12.903071;1.862515;1.559455
47019;753;796;43;774.521758;9.181852;0;5.876129;5.876129;1.376389;0.851931
47020;745;784;39;765.477889;7.941722;0;5.565083;5.565083;0.983934;0.739047
47017;693;838;145;752.414936;43.595979;0;15.351362;15.351362;2.261232;2.586382
47018;751;840;89;823.57452;18.698543;0;16.948996;16.948996;3.013207;3.529854
47023;682;748;66;703.350917;13.339459;0;11.045886;11.045886;1.666128;1.628617
47024;701;796;95;729.530324;19.311145;0;5.876129;5.876129;1.546194;0.904564
47025;740;784;44;750.750746;7.523566;0;4.498118;4.498118;0.754196;0.655876
47026;744;829;85;793.834211;18.717464;0;6.236675;6.236675;1.528381;0.827295
47027;688;865;177;767.587562;60.822683;0;32.715267;32.715267;4.305441;4.810803
47028;735;792;57;759.371429;13.116938;0;7.099717;7.099717;1.592982;1.006193
47029;706;738;32;723.89257;5.615787;0;3.995855;3.995855;0.936758;0.544891
47030;881;908;27;901.14461;3.112433;0;6.302719;6.302719;0.584635;0.436699
47033;764;915;151;893.808529;31.135984;0;22.309441;22.309441;1.759593;2.844446
47034;788;924;136;872.737971;39.120561;0;18.797018;18.797018;3.846021;3.789119
47035;733;788;55;762.022466;10.260161;0;4.897547;4.897547;0.938007;0.773138
47036;688;803;115;730.734367;22.818253;0;16.788595;16.788595;2.499871;2.515355
47037;723;778;55;757.13882;11.310298;0;9.719351;9.719351;1.384218;1.197391
47038;748;932;184;853.656201;54.181229;0;23.473204;23.473204;4.757693;4.852666
47039;764;885;121;844.611429;34.356321;0;23.875843;23.875843;3.686163;4.231223
47040;735;797;62;761.625;17.3316;0;10.892649;10.892649;1.61829;1.349618
47041;747;844;97;804.379074;29.919409;0;20.919538;20.919538;4.728964;3.715104
47042;716;828;112;769.08657;32.408781;0;14.424526;14.424526;2.316201;2.194254
47043;769;850;81;836.4748;10.558298;0;17.18128;17.18128;1.296902;2.110912
47044;710;865;155;791.403369;54.234733;0;19.842831;19.842831;4.000304;3.856578
47178;706;839;133;795.524547;46.296086;0;16.787401;16.787401;2.020452;2.936405
47045;647;805;158;715.21154;42.066537;0;18.049742;18.049742;2.570008;2.210012
47046;724;803;79;756.759528;17.239599;0;7.672742;7.672742;1.584076;0.961178
47187;737;804;67;769.253631;14.441156;0;7.250456;7.250456;1.452775;0.871878
47047;770;903;133;852.400337;42.003755;0;15.983734;15.983734;2.913595;2.793978
47048;746;802;56;773.338244;10.166445;0;5.839448;5.839448;1.305007;0.735891
47049;749;780;31;760.43722;5.139321;0;4.67356;4.67356;0.883592;0.604137
49081;736;918;182;820.91154;36.592149;0;10.199651;10.199651;2.543714;1.545352
47050;685;858;173;778.569989;50.959335;0;17.79426;17.79426;2.016672;2.140031
47051;740;848;108;836.810628;18.973581;0;19.36581;19.36581;1.736099;2.986361
47061;743;888;145;818.766469;46.233709;0;23.280214;23.280214;3.812106;4.066429
47052;689;851;162;741.077486;46.566904;0;19.093325;19.093325;2.651923;2.881768
47053;725;862;137;773.636869;39.723933;0;19.113949;19.113949;4.310597;4.129665
47054;770;903;133;875.623191;29.727887;0;21.791882;21.791882;3.241338;4.47799
47055;695;858;163;787.881318;58.92008;0;18.175049;18.175049;1.615007;1.898777
47056;795;917;122;890.182908;27.252567;0;22.270823;22.270823;3.412392;4.406721
47057;698;806;108;744.87732;31.810375;0;14.947487;14.947487;1.805639;1.73429
47058;749;818;69;779.033519;14.714906;0;4.247496;4.247496;1.088754;0.624657
47059;739;911;172;821.728607;56.080342;0;24.764366;24.764366;5.683927;5.720723
47060;793;923;130;874.008179;35.755453;0;21.090981;21.090981;3.75531;3.999257
47069;710;837;127;767.323208;42.461433;0;16.617002;16.617002;2.993544;2.797807
47062;779;921;142;871.947537;35.632922;0;18.636965;18.636965;3.350088;3.237728
47063;823;910;87;899.843594;10.873405;0;19.761585;19.761585;1.336242;2.444113
47064;770;839;69;811.997586;15.794385;0;6.676022;6.676022;1.464812;0.864703
47065;744;797;53;766.898529;8.218473;0;5.669404;5.669404;0.970154;0.798705
47066;698;850;152;770.173145;37.083982;0;16.633535;16.633535;3.342076;2.754845
47067;749;779;30;760.252199;5.694366;0;2.522541;2.522541;0.771005;0.473961
47068;754;840;86;789.3965;23.283649;0;6.986811;6.986811;1.798286;1.299929
47074;705;743;38;730.458342;6.284855;0;8.167452;8.167452;1.002507;0.794323
47075;728;861;133;769.301174;31.301637;0;18.938919;18.938919;1.744759;2.360669
47081;696;775;79;717.215517;12.549381;0;7.471115;7.471115;1.441515;1.020864
47076;682;740;58;702.710563;10.845653;0;6.884833;6.884833;1.268856;0.941309
47077;784;907;123;874.610962;28.121215;0;19.300581;19.300581;3.123342;3.558054
47082;693;786;93;721.367874;10.215228;0;9.536004;9.536004;1.215196;0.989471
47083;693;837;144;735.89134;38.388567;0;14.097409;14.097409;2.414256;2.251199
47087;719;861;142;796.338104;52.663489;0;22.819664;22.819664;4.038989;4.703358
47088;762;811;49;783.23425;11.486351;0;10.804201;10.804201;1.422339;1.255403
47084;722;840;118;774.159469;23.345698;0;10.473118;10.473118;1.371258;1.075287
47085;705;817;112;746.666429;24.775826;0;9.726042;9.726042;1.388409;1.116437
47089;757;806;49;781.505265;8.56873;0;10.793589;10.793589;1.13472;0.994628
47086;722;852;130;777.161296;39.392792;0;16.764671;16.764671;1.873645;2.087887
47095;722;754;32;734.590281;5.034543;0;3.95454;3.95454;0.987131;0.611769
47090;705;852;147;732.393026;32.84631;0;21.337603;21.337603;2.489581;3.551846
47091;755;814;59;782.944064;12.638071;0;8.208526;8.208526;1.405474;1.128162
47096;722;761;39;740.055794;8.721754;0;3.061698;3.061698;0.97717;0.51682
47092;750;853;103;806.334005;35.534642;0;15.001933;15.001933;2.226529;2.435485
47093;771;885;114;860.401789;24.113737;0;18.239449;18.239449;2.111147;2.929036
47094;743;800;57;770.298322;12.443518;0;5.266228;5.266228;1.075436;0.62105
47097;719;827;108;756.141042;22.516807;0;16.396112;16.396112;2.621275;2.468865
47098;728;859;131;815.896533;38.026021;0;17.613068;17.613068;2.134505;2.132957
47101;679;794;115;741.484323;20.653776;0;9.775703;9.775703;1.734329;1.348992
47102;734;775;41;749.420439;7.165763;0;5.685078;5.685078;0.79243;0.638486
49024;689;809;120;745.10405;31.317461;0;11.826165;11.826165;2.557146;1.7969
47103;713;885;172;808.087361;61.066203;0;23.652073;23.652073;4.26099;4.626559
47106;772;930;158;876.759236;41.493532;0;22.411139;22.411139;6.105182;5.07068
47181;745;857;112;820.739815;36.096522;0;15.931166;15.931166;2.00327;2.582162
47104;715;858;143;755.408885;18.4297;0;16.209005;16.209005;1.573576;1.767665
47105;720;869;149;802.418337;53.047134;0;22.229635;22.229635;4.101897;4.20679
47109;752;812;60;780.761036;10.920679;0;6.285099;6.285099;1.376622;0.845497
47110;753;878;125;847.490226;28.133844;0;19.202526;19.202526;1.721713;2.432051
47127;724;894;170;831.155231;55.876491;0;22.915487;22.915487;4.591385;4.556758
47111;691;733;42;708.134771;6.474904;0;5.257757;5.257757;0.896948;0.644191
47112;739;861;122;789.332518;45.978692;0;17.902378;17.902378;2.062736;2.941133
47118;758;902;144;854.362008;42.813561;0;19.112932;19.112932;3.5372;3.149541
47113;672;800;128;706.221872;20.077575;0;12.916118;12.916118;1.309742;1.474209
47119;791;910;119;886.030454;25.003864;0;19.330236;19.330236;2.872508;3.495275
47128;730;763;33;748.518639;5.389825;0;3.253653;3.253653;0.9434;0.528365
47114;733;909;176;792.445631;48.694943;0;26.496473;26.496473;4.080416;4.794871
