CODMUNI;MINDISN10M;MAXDISN10M;RANGEDISN10M;MEANDISN10M;STDDISN10M
9027;25246.09682;27949.87928;2703.782458;26822.41609;586.64344
9029;12893.01585;26521.28966;13628.27381;16974.59006;2690.633243
9032;33124.96532;41017.31592;7892.350592;37593.62812;1667.048694
9033;18585.76132;24861.43378;6275.672461;21714.2313;1450.826523
9030;12589.36396;26650.72839;14061.36443;18534.46948;3933.642806
9034;28031.02015;38664.00002;10632.97987;33292.79746;2494.07594
9035;10890.4962;20131.57782;9241.081621;15612.22928;2412.713546
9036;30301.06887;35733.83307;5432.764206;32822.23223;1204.310114
9039;42834.61842;49201.99244;6367.374016;45955.27469;1519.580058
9041;29038.59093;31630.80385;2592.212926;30266.76413;593.080081
9037;42681.32152;51451.28143;8769.959911;47102.88917;1896.548708
9038;40591.24318;46098.55049;5507.307313;43433.13555;1375.697598
42130;23235.31282;31423.97397;8188.66115;27432.26584;1984.67335
9043;29564.34825;39061.53324;9497.184988;34270.49344;2167.71413
9044;18903.80807;26593.57157;7689.7635;22015.20289;1506.4432
9283;25846.48098;30822.59528;4976.114297;28338.43773;1173.052857
9045;29733.8689;41222.83093;11488.96202;36713.10733;2733.520669
9046;25123.86098;30887.59634;5763.735356;28009.72237;1706.356943
9287;10960.29202;14302.87748;3342.58546;12580.3219;820.131285
9047;30075.58139;35139.1756;5063.594205;32658.30847;1090.639681
9048;27245.43579;39096.42551;11850.98971;33281.68813;2590.539218
9050;21239.7869;27825.06586;6585.278962;24937.08149;1627.48145
9058;6454.852363;11798.00712;5343.154756;9055.824666;1320.433954
9051;10000.40583;17474.73093;7474.325104;14254.78707;1850.650795
9052;24899.44977;29526.96888;4627.519111;26772.21168;909.856102
9054;10165.87022;16972.82215;6806.951931;13620.68307;1645.566988
9061;16042.21324;24007.85721;7965.643969;20246.74674;1913.152702
9055;21653.73406;28711.21709;7057.483029;24949.76969;1881.729132
9062;44600.32014;49709.42012;5109.099982;47125.56696;1222.231138
9063;10433.19782;15579.35532;5146.157498;13340.59887;1291.210727
