CODMUNI;MINCARRETN;MAXCARRETN;RANGECARRETN;MEANCARRETN;STDCARRETN;MINDISAUT;MAXDISAUT;RANGEDISAUT;MEANDISAUT;STDDISAUT;MINDISFERR;MAXDISFERR;RANGEDISFERR;MEANDISFERR;STDDISFERR
22055;1981.496051;13286.8217;11305.32565;8661.743035;2351.274099;1465.247981;13184.55725;11719.30927;8238.94756;2385.439868;9346.801788;16822.16434;7475.362555;13016.47903;1535.156443
22057;14626.13151;31028.19298;16402.06147;23398.10567;3555.255538;37625.20364;57350.55782;19725.35418;48387.75561;4620.853978;36534.81722;56579.39845;20044.58123;47537.71096;4679.889612
22058;5529.004761;20799.42089;15270.41613;15011.91053;4273.336389;6126.589896;26132.47949;20005.8896;16832.34099;5432.100833;23247.73049;35478.616;12230.88552;29394.06548;2617.329607
22059;9.896389;11158.44613;11148.54974;4100.980011;2452.277934;4733.109429;21440.39913;16707.28971;12993.27386;3753.82257;3372.164084;21953.11705;18580.95296;12655.10136;3543.878597
22060;1070.789508;14612.20565;13541.41614;7751.254253;3223.058471;2115.190269;14581.1474;12465.95713;7795.647175;3122.382178;2029.566211;14304.84779;12275.28158;8351.671161;2919.279473
22062;24.818861;6541.358746;6516.539885;2474.526012;1380.314907;58929.17555;70598.12152;11668.94597;64257.24682;2837.121683;63183.39851;75376.03543;12192.63692;69232.0079;2819.873605
22063;17551.22643;26212.71972;8661.493296;22567.03473;2130.253984;17647.10922;26194.36039;8547.251167;22578.88159;2114.674386;5023.785663;12861.52478;7837.739115;9136.549904;1973.199846
22066;6.198813;15289.62782;15283.429;6292.48633;4009.956547;19125.74089;40196.59474;21070.85385;30234.57027;4946.256753;24321.36479;40236.04757;15914.68278;32021.94652;3458.408036
22088;50.587683;5807.798375;5757.210692;2858.070551;1432.474268;24.720653;5932.916269;5908.195616;2899.551377;1531.997321;16600.83127;20979.11322;4378.281955;18672.74168;970.5014
22067;39.04012;5889.766587;5850.726467;2627.928537;1378.28561;63306.07947;69417.57361;6111.494139;66273.18805;1299.256625;65680.6912;71704.60188;6023.910679;68491.70917;1358.424419
22068;977.144148;7280.477349;6303.3332;3532.421439;1275.185124;6147.86766;21335.46371;15187.59605;12670.46826;4149.951716;1380.635247;7398.23671;6017.601463;3849.725302;1236.886878
44237;1108.766854;7057.46912;5948.702265;3920.486475;1214.883876;35817.75915;45382.97049;9565.211342;40130.1584;2414.660898;4775.448349;10458.53535;5683.086997;8065.083417;1200.189815
22069;23.598337;7910.835289;7887.236952;2998.384805;1730.175461;10941.54976;28372.91488;17431.36513;19957.18734;3963.580292;10012.58611;27353.34569;17340.75958;19155.94115;3973.466895
22072;33.760699;19108.90211;19075.14141;9267.017007;4710.679519;32.549358;19574.43225;19541.88289;9616.896007;4620.209568;22.396462;13244.57387;13222.17741;5045.270822;2613.20342
22074;16.942593;3283.674527;3266.731934;1231.184694;675.702325;49295.45501;55692.54201;6397.086993;52811.65007;1787.876673;55704.60678;62514.80297;6810.19619;59434.52272;1852.235261
22076;27.495816;11386.41;11358.91418;4493.374269;2601.762284;1095.948291;11926.38772;10830.43943;6246.394526;2151.289144;16809.68593;30454.6187;13644.93277;24739.17256;2707.927496
22077;9.138406;10108.67212;10099.53372;3406.705461;2077.845574;27.180291;8863.375677;8836.195386;3292.963067;1888.574776;20762.37719;34463.00359;13700.6264;29058.623;3188.300247
22079;23567.22317;28704.24893;5137.025766;26583.01737;1186.624361;23693.14056;28830.52365;5137.383089;26708.54941;1187.520424;581.917161;5747.254898;5165.337737;3307.754314;1190.695174
44252;8716.413976;12424.59007;3708.176092;10553.18411;797.522109;1553.005724;9576.098161;8023.092438;5146.369665;1840.371128;27.99657;5481.871348;5453.874777;2076.535855;1078.160868
22078;8.359231;7389.706573;7381.347342;3168.565097;1958.788339;14710.05761;27160.92895;12450.87135;21103.65393;2778.41284;42.169036;7930.96455;7888.795514;3987.49873;1877.283023
50281;1153.455091;3093.565654;1940.110563;2074.001708;409.871479;10223.95589;12882.30675;2658.350854;11663.75618;589.92138;14335.88293;16131.83477;1795.951841;15382.99599;337.293037
22080;2003.510778;11080.27724;9076.76646;6405.565218;1942.773281;28439.20457;38284.55604;9845.351469;33194.49697;2058.139372;31564.99302;40682.82549;9117.832464;35836.639;1979.299635
22081;999.014552;18575.64864;17576.63409;10956.96495;4673.407425;1038.754598;19340.06164;18301.30704;11563.46107;4516.822817;16461.76532;27386.40264;10924.63732;22216.53524;2233.757569
22082;22.277418;5871.264404;5848.986985;2091.320371;1273.053578;31.643139;5287.397674;5255.754535;2027.453642;1114.332154;3380.354811;9025.980335;5645.625524;6489.346926;1265.824544
22083;8698.54808;27707.5935;19009.04542;16699.20634;3621.78336;5988.54184;25434.33685;19445.79501;13886.16566;3742.297469;10222.17557;27402.94848;17180.77291;19909.58541;3782.152505
22087;4661.427283;12522.70541;7861.278127;9005.159096;1896.14365;40216.30711;46109.45729;5893.150178;43053.17155;1291.927686;42356.91996;48339.61448;5982.694521;45215.46337;1325.774932
22084;21.437633;7664.921048;7643.483415;3674.040625;2203.961579;59998.28106;72920.9703;12922.68924;67901.13951;3326.204215;66031.98323;77329.38903;11297.4058;71978.45188;2853.776315
22085;16143.27945;23556.1638;7412.884354;19937.19915;1950.867927;18236.04906;25875.1385;7639.089436;22246.92353;1966.996878;2234.701939;7740.754193;5506.052255;5091.677255;1321.221888
