codMuni;CCAA;Nombre;CodProv;NombreProvincia;NombreCCAA;NHOSPI;NFARMA;NCENTEDUC;NATURGHOSP;NATPRIMARIA;DISTHOSPIT;DISTFARMA;DISTCEDUC;DISTCURGH;DISTATPRIM
5170;7;Navatejares;5;Ávila;Castilla y León;0;0;0;0;1;69364.17567;11933.63466;4208.978076;4208.978076;1325.155218
5171;7;Neila de San Miguel;5;Ávila;Castilla y León;0;0;0;0;1;55771.08514;4053.587589;3118.546573;10909.063;1187.059515
5172;7;Niharra;5;Ávila;Castilla y León;0;0;0;0;1;14202.42179;5230.504601;6923.441952;9476.062108;1305.231527
5173;7;Ojos-Albos;5;Ávila;Castilla y León;0;0;0;0;1;13636.80278;4699.102576;13786.14036;10274.04692;2398.892905
5174;7;Orbita;5;Ávila;Castilla y León;0;0;0;0;1;7836.731487;3527.07652;5327.823386;7988.786594;2035.920584
5175;7;El Oso;5;Ávila;Castilla y León;0;0;0;0;1;20921.81718;13211.64854;15427.13394;10206.73432;1791.56266
5176;7;Padiernos;5;Ávila;Castilla y León;0;0;0;0;2;14696.10557;5729.295054;9791.253069;11175.16173;1934.42955
5177;7;Pajares de Adaja;5;Ávila;Castilla y León;0;0;0;0;1;15300.44922;3731.143473;4620.093153;15443.20566;1832.04561
5178;7;Palacios de Goda;5;Ávila;Castilla y León;0;0;0;0;2;8593.549663;8069.287879;12954.36117;6759.139829;2110.55295
5179;7;Papatrigo;5;Ávila;Castilla y León;0;0;0;0;1;21555.77933;6738.239454;10618.07491;8681.659293;1880.968804
5180;7;El Parral;5;Ávila;Castilla y León;0;0;0;0;1;29649.05321;1350.541477;6823.674182;9431.726369;1325.878359
5181;7;Pascualcobo;5;Ávila;Castilla y León;0;0;0;0;1;47894.87773;12190.88085;16514.78796;20101.11214;2242.038529
5182;7;Pedro Bernardo;5;Ávila;Castilla y León;0;1;0;0;1;48706.15857;10195.92851;6438.307397;5684.298955;3114.921817
5183;7;Pedro-Rodríguez;5;Ávila;Castilla y León;0;0;0;0;1;13362.26607;6064.393106;14116.40488;13534.47674;1520.394666
5184;7;Peguerinos;5;Ávila;Castilla y León;0;0;0;0;1;32713.09602;16410.79933;7408.410349;7802.497081;3589.337046
5185;7;Peñalba de Ávila;5;Ávila;Castilla y León;0;0;0;0;1;15210.9062;3458.751826;13482.23018;12780.15584;2239.577349
5186;7;Piedrahíta;5;Ávila;Castilla y León;0;0;2;1;4;57845.88215;2851.747768;2557.356752;2498.810093;1283.48126
5187;7;Piedralaves;5;Ávila;Castilla y León;0;0;0;0;1;36536.30841;14229.67531;5467.303438;10122.90698;2858.833056
5188;7;Poveda;5;Ávila;Castilla y León;0;0;0;0;1;34342.84377;16158.85875;16018.07253;6367.220745;1371.372848
5189;7;Poyales del Hoyo;5;Ávila;Castilla y León;0;0;0;0;1;66331.11568;14929.22842;6096.242493;7003.276703;766.032497
5190;7;Pozanco;5;Ávila;Castilla y León;0;0;0;0;1;14777.65482;3280.522974;12089.50962;16018.14;1280.635209
